number,value,datetime_start,datetime_complete,duration,params_mask_thr,params_nms_thr,params_score_thr,state
17,0.17108390999302217,2021-12-16 00:53:00.728527,2021-12-16 01:03:47.351455,0 days 00:10:46.622928,0.5721247384643282,0.6799427195248225,0.04898334178126312,COMPLETE
18,0.1658753577728499,2021-12-16 01:03:47.353589,2021-12-16 01:14:25.909850,0 days 00:10:38.556261,0.8147604548913386,0.5076310496048377,0.19574619352152214,COMPLETE
19,0.17442321422824375,2021-12-16 01:14:25.911821,2021-12-16 01:25:01.437810,0 days 00:10:35.525989,0.6082531986843875,0.9182274498733279,0.6412185157183008,COMPLETE
20,0.1664263516415875,2021-12-16 01:25:01.448167,2021-12-16 01:35:41.686697,0 days 00:10:40.238530,0.4291783051760285,0.7596302652813188,0.7225106529693507,COMPLETE
21,0.17409746380630478,2021-12-16 01:35:41.688723,2021-12-16 01:46:25.448982,0 days 00:10:43.760259,0.5905209456196701,0.9159265693984978,0.6389700061932528,COMPLETE
22,0.17450297680857732,2021-12-16 01:46:25.451377,2021-12-16 01:57:06.107431,0 days 00:10:40.656054,0.6759631002222656,0.8933435441831179,0.8272485031064789,COMPLETE
23,0.17396316377129076,2021-12-16 01:57:06.109522,2021-12-16 02:07:44.294765,0 days 00:10:38.185243,0.7022800172289093,0.8897598290293478,0.8304275207934768,COMPLETE
24,0.16378343940535953,2021-12-16 02:07:44.305986,2021-12-16 02:18:16.660698,0 days 00:10:32.354712,0.39741707469977994,0.7222824222670974,0.6483539406901012,COMPLETE
25,0.17263225322298487,2021-12-16 02:18:16.662496,2021-12-16 02:28:46.692307,0 days 00:10:30.029811,0.5385692761915388,0.5652218194044291,0.8349553992714257,COMPLETE
26,0.17476352046878596,2021-12-16 02:28:46.694032,2021-12-16 02:39:18.697818,0 days 00:10:32.003786,0.6622313284299084,0.8865305987429811,0.8012775978167239,COMPLETE
27,0.17221461023332743,2021-12-16 02:39:18.699762,2021-12-16 02:49:46.198831,0 days 00:10:27.499069,0.7461033780887351,0.8301980136338174,0.7700541245461685,COMPLETE
28,0.15641697354055556,2021-12-16 02:49:46.216845,2021-12-16 03:00:11.578681,0 days 00:10:25.361836,0.8743787256426143,0.5987517437263445,0.8091197380492607,COMPLETE
29,0.17469171174870107,2021-12-16 03:00:11.580682,2021-12-16 03:10:51.516343,0 days 00:10:39.935661,0.6678795683938622,0.39963711783250183,0.6042077716443577,COMPLETE
30,0.14136144224651093,2021-12-16 03:10:51.518218,2021-12-16 03:20:48.759601,0 days 00:09:57.241383,0.9247098591773909,0.401669630690609,0.9707135210138675,COMPLETE
31,0.17469731654501264,2021-12-16 03:20:48.761720,2021-12-16 03:31:24.307233,0 days 00:10:35.545513,0.6351873603623874,0.47728982185769114,0.5906186219640577,COMPLETE
32,0.1742762001251437,2021-12-16 03:31:24.319836,2021-12-16 03:41:59.450667,0 days 00:10:35.130831,0.6845307362850499,0.42445413526793624,0.5765298523288998,COMPLETE
33,0.16995435686270308,2021-12-16 03:41:59.452298,2021-12-16 03:52:30.801275,0 days 00:10:31.348977,0.7773634291188102,0.3165372327502264,0.46314917006226064,COMPLETE
34,0.17432343220121457,2021-12-16 03:52:30.803678,2021-12-16 04:02:47.188251,0 days 00:10:16.384573,0.6622852678982235,0.17335414591204895,0.7662954175019013,COMPLETE
35,0.16404960970215823,2021-12-16 04:02:47.190066,2021-12-16 04:13:21.117821,0 days 00:10:33.927755,0.8333850891075266,0.4041358935270975,0.8652372705596028,COMPLETE
36,0.17131729976536728,2021-12-16 04:13:21.127768,2021-12-16 04:23:48.495284,0 days 00:10:27.367516,0.5213714428253309,0.23584894839609533,0.5883609843235649,COMPLETE
37,0.17438847649561764,2021-12-16 04:23:48.497342,2021-12-16 04:34:22.330896,0 days 00:10:33.833554,0.6461908213186336,0.3241877934481322,0.44919822555026134,COMPLETE
38,0.17223140433225112,2021-12-16 04:34:22.332720,2021-12-16 04:44:57.513258,0 days 00:10:35.180538,0.7446406596508442,0.44784090953735095,0.9014418905885585,COMPLETE
39,0.1713045979304917,2021-12-16 04:44:57.515059,2021-12-16 04:55:32.803672,0 days 00:10:35.288613,0.5089108356888123,0.5762583099957254,0.6906028119173167,COMPLETE
