number,value,datetime_start,datetime_complete,duration,params_mask_thr,params_nms_thr,params_score_thr,state
24,0.20026248388678283,2021-12-18 02:02:10.852677,2021-12-18 02:03:34.173224,0 days 00:01:23.320547,0.8155818171469233,0.8125433151280558,0.4448980810653366,COMPLETE
25,0.21871528250131894,2021-12-18 02:03:34.174886,2021-12-18 02:04:57.987612,0 days 00:01:23.812726,0.3494461478490524,0.7858286848544426,0.2736533342306063,COMPLETE
26,0.2204576951746756,2021-12-18 02:04:57.989060,2021-12-18 02:06:19.492769,0 days 00:01:21.503709,0.6531741192205598,0.8989236601731989,0.12496280587672787,COMPLETE
27,0.22465381064695178,2021-12-18 02:06:19.506397,2021-12-18 02:07:40.993811,0 days 00:01:21.487414,0.5290725459628866,0.6687943816365816,0.4553105522597055,COMPLETE
28,0.20477687806211078,2021-12-18 02:07:40.995066,2021-12-18 02:08:58.763902,0 days 00:01:17.768836,0.5344181571230816,0.003249246342773071,0.474982957553389,COMPLETE
29,0.22465503740442566,2021-12-18 02:08:58.765419,2021-12-18 02:10:20.965156,0 days 00:01:22.199737,0.5553808046462458,0.9374857354997054,0.5338270295103318,COMPLETE
30,0.2105212124288904,2021-12-18 02:10:20.976036,2021-12-18 02:11:40.163068,0 days 00:01:19.187032,0.26081261853927684,0.9410988164352105,0.7642525663745218,COMPLETE
31,0.22454772455951064,2021-12-18 02:11:40.164625,2021-12-18 02:13:00.362317,0 days 00:01:20.197692,0.5571902975773079,0.8221857578497225,0.552664232889068,COMPLETE
32,0.22168335996601407,2021-12-18 02:13:00.363933,2021-12-18 02:14:22.470056,0 days 00:01:22.106123,0.6413658195699916,0.7975329565541018,0.552448304412622,COMPLETE
33,0.22444650590414536,2021-12-18 02:14:22.479990,2021-12-18 02:15:42.648481,0 days 00:01:20.168491,0.5538653221440897,0.6910479075025469,0.5478557984627946,COMPLETE
34,0.2222105706466236,2021-12-18 02:15:42.650173,2021-12-18 02:17:01.831031,0 days 00:01:19.180858,0.4126053148462897,0.9284112852859305,0.5242010399345285,COMPLETE
35,0.21912148107656784,2021-12-18 02:17:01.832525,2021-12-18 02:18:20.870762,0 days 00:01:19.038237,0.6789472987880569,0.8230618841943808,0.4947156535388697,COMPLETE
36,0.21490138737104075,2021-12-18 02:18:20.880457,2021-12-18 02:19:40.406491,0 days 00:01:19.526034,0.3035362092765833,0.7506748800430237,0.37882555012597285,COMPLETE
37,0.22438014017944974,2021-12-18 02:19:40.407765,2021-12-18 02:21:01.802285,0 days 00:01:21.394520,0.5646761611392336,0.6742386061687676,0.614387791337857,COMPLETE
38,0.19306682270111364,2021-12-18 02:21:01.804453,2021-12-18 02:22:18.772103,0 days 00:01:16.967650,0.8122181122680046,0.5588939494141235,0.9744292859972613,COMPLETE
39,0.2236799215280103,2021-12-18 02:22:18.784019,2021-12-18 02:23:39.368696,0 days 00:01:20.584677,0.6022561828335143,0.9532275859446149,0.46857996230211496,COMPLETE
40,0.22443625937373057,2021-12-18 02:23:39.370388,2021-12-18 02:24:58.893448,0 days 00:01:19.523060,0.5351806548023522,0.4590973404762875,0.7079200044775724,COMPLETE
41,0.22416160291493797,2021-12-18 02:24:58.895499,2021-12-18 02:26:20.147239,0 days 00:01:21.251740,0.5128774623587173,0.8567886467141577,0.30834145525039913,COMPLETE
42,0.22204850654634734,2021-12-18 02:26:20.157403,2021-12-18 02:27:41.765760,0 days 00:01:21.608357,0.6052514585442536,0.7532367507006607,0.09353199591325151,COMPLETE
43,0.21429933172406243,2021-12-18 02:27:41.767440,2021-12-18 02:29:02.127747,0 days 00:01:20.360307,0.7219895004667175,0.8353510649733806,0.5839270737011298,COMPLETE
44,0.22269888219213219,2021-12-18 02:29:02.129371,2021-12-18 02:30:20.439522,0 days 00:01:18.310151,0.4256190506147574,0.9274589960946577,0.2576514194774489,COMPLETE
45,0.21900336181397895,2021-12-18 02:30:20.451041,2021-12-18 02:31:41.374070,0 days 00:01:20.923029,0.36256440434934406,0.7126704956047403,0.5055545034972514,COMPLETE
46,0.2229775882939221,2021-12-18 02:31:41.376103,2021-12-18 02:33:01.987122,0 days 00:01:20.611019,0.623671449732889,0.7690141282747306,0.38421502889794135,COMPLETE
47,0.2230684220167263,2021-12-18 02:33:01.989017,2021-12-18 02:34:23.859082,0 days 00:01:21.870065,0.4653113308272419,0.8918941715429289,0.6507153375232514,COMPLETE
48,0.22465079162198218,2021-12-18 02:34:23.873093,2021-12-18 02:35:45.763452,0 days 00:01:21.890359,0.5625790140038388,0.6546926326094966,0.3312462168856354,COMPLETE
49,0.2180559673562112,2021-12-18 02:35:45.765059,2021-12-18 02:37:07.567802,0 days 00:01:21.802743,0.6949550532437454,0.5409391499989692,0.3596938018370863,COMPLETE
50,0.2246922290861043,2021-12-18 02:37:07.569534,2021-12-18 02:38:30.708790,0 days 00:01:23.139256,0.5656461907787568,0.6615677140660438,0.318981152192186,COMPLETE
51,0.2247743420936386,2021-12-18 02:38:30.728829,2021-12-18 02:39:52.231354,0 days 00:01:21.502525,0.5637858794186349,0.6664238276910955,0.29848543265689087,COMPLETE
52,0.22393935471637028,2021-12-18 02:39:52.233053,2021-12-18 02:41:14.678000,0 days 00:01:22.444947,0.5879061922317523,0.6560281006504224,0.20500799848106527,COMPLETE
53,0.2241085410134639,2021-12-18 02:41:14.679612,2021-12-18 02:42:35.277615,0 days 00:01:20.598003,0.5197902676844919,0.5161228770847108,0.31080994004761314,COMPLETE
54,0.2231314387758699,2021-12-18 02:42:35.288895,2021-12-18 02:43:54.335428,0 days 00:01:19.046533,0.4370839392009541,0.5886338308757469,0.4176034720619697,COMPLETE
55,0.2241707592171836,2021-12-18 02:43:54.337370,2021-12-18 02:45:18.851039,0 days 00:01:24.513669,0.5753866387467155,0.7159225282515027,0.23287714338856771,COMPLETE
56,0.22249747671091327,2021-12-18 02:45:18.852587,2021-12-18 02:46:40.872804,0 days 00:01:22.020217,0.6369394606097436,0.4778870362469955,0.32973470977584407,COMPLETE
57,0.22455767774684246,2021-12-18 02:46:40.884641,2021-12-18 02:47:59.636766,0 days 00:01:18.752125,0.4897645937441073,0.43242653361542516,0.28543710701754127,COMPLETE
58,0.22178900594973688,2021-12-18 02:47:59.638376,2021-12-18 02:49:21.176593,0 days 00:01:21.538217,0.4044290388525258,0.6587893036937162,0.40278648330274647,COMPLETE
59,0.22052519317615443,2021-12-18 02:49:21.178394,2021-12-18 02:50:42.584627,0 days 00:01:21.406233,0.6645613966008743,0.5891958570959828,0.45178912631457036,COMPLETE
60,0.20958784440116032,2021-12-18 02:50:42.596263,2021-12-18 02:52:05.456409,0 days 00:01:22.860146,0.7626844086862415,0.6275602325148292,0.1739509878893681,COMPLETE
61,0.22462825382735988,2021-12-18 02:52:05.457968,2021-12-18 02:53:28.339519,0 days 00:01:22.881551,0.4757723490673137,0.38149278654366975,0.298230561990491,COMPLETE
62,0.2250862762804146,2021-12-18 02:53:28.341292,2021-12-18 02:54:51.240218,0 days 00:01:22.898926,0.47777478373399845,0.32495268234248165,0.36911676196225207,COMPLETE
63,0.22602167293024575,2021-12-18 02:54:51.250088,2021-12-18 02:56:14.367154,0 days 00:01:23.117066,0.5221931570584171,0.30489402132369636,0.3511463852759036,COMPLETE
64,0.14990149514609147,2021-12-18 02:56:14.368803,2021-12-18 02:57:33.542405,0 days 00:01:19.173602,0.019230612455483298,0.2536790604683925,0.3708541620274302,COMPLETE
65,0.2256350385913565,2021-12-18 02:57:33.544040,2021-12-18 02:58:55.122257,0 days 00:01:21.578217,0.5114323557291015,0.28987894487043175,0.4374331078737339,COMPLETE
66,0.22136598727637868,2021-12-18 02:58:55.133620,2021-12-18 03:00:14.185743,0 days 00:01:19.052123,0.38376312121537764,0.1598396489354788,0.24680319183962918,COMPLETE
67,0.2254173338045393,2021-12-18 03:00:14.187821,2021-12-18 03:01:32.787844,0 days 00:01:18.600023,0.5040153543128082,0.2928219092384203,0.4300064771985275,COMPLETE
68,0.22456363284676217,2021-12-18 03:01:32.789429,2021-12-18 03:02:51.028191,0 days 00:01:18.238762,0.44306543947355087,0.2856142143931646,0.3549604355059621,COMPLETE
69,0.22530770876863157,2021-12-18 03:02:51.040962,2021-12-18 03:04:11.973184,0 days 00:01:20.932222,0.5128485648121318,0.36153909048584065,0.4266141752734097,COMPLETE
70,0.22476839084655942,2021-12-18 03:04:11.974988,2021-12-18 03:05:32.227572,0 days 00:01:20.252584,0.4955356840278003,0.36050190658161707,0.41389926625985707,COMPLETE
71,0.22551248412762426,2021-12-18 03:05:32.228812,2021-12-18 03:06:53.315941,0 days 00:01:21.087129,0.5113072471474309,0.3496318529211093,0.41865031204914255,COMPLETE
72,0.22568459811430813,2021-12-18 03:06:53.327857,2021-12-18 03:08:16.528070,0 days 00:01:23.200213,0.5125679108836405,0.3441048117340425,0.41777913217803087,COMPLETE
73,0.22462738166789697,2021-12-18 03:08:16.529810,2021-12-18 03:09:37.344680,0 days 00:01:20.814870,0.4566562253071893,0.32956056038936465,0.4883116191679833,COMPLETE
74,0.22536892563296723,2021-12-18 03:09:37.346637,2021-12-18 03:10:58.561936,0 days 00:01:21.215299,0.5085372506473911,0.2356953700939453,0.4282852735543248,COMPLETE
75,0.22473273947084635,2021-12-18 03:10:58.575547,2021-12-18 03:12:19.176202,0 days 00:01:20.600655,0.4885397921865606,0.20950883586066116,0.4259007855131255,COMPLETE
76,0.2181738935724018,2021-12-18 03:12:19.178296,2021-12-18 03:13:37.545657,0 days 00:01:18.367361,0.3294263265181714,0.2601361719261744,0.39391202993808866,COMPLETE
77,0.22222414359978773,2021-12-18 03:13:37.547750,2021-12-18 03:14:58.308167,0 days 00:01:20.760417,0.39807241034231805,0.416325915668658,0.4401228501140289,COMPLETE
78,0.22559627016339195,2021-12-18 03:14:58.320486,2021-12-18 03:16:17.284694,0 days 00:01:18.964208,0.5367083577331901,0.3179656941320023,0.5098039230468083,COMPLETE
79,0.224884019849049,2021-12-18 03:16:17.286336,2021-12-18 03:17:35.313311,0 days 00:01:18.026975,0.5129703305820075,0.20052280184521354,0.5027772732346193,COMPLETE
80,0.22422558578977023,2021-12-18 03:17:35.315191,2021-12-18 03:18:55.717007,0 days 00:01:20.401816,0.614002180468182,0.2927141472989182,0.5791854184483121,COMPLETE
81,0.22558058092050312,2021-12-18 03:18:55.729962,2021-12-18 03:20:16.277239,0 days 00:01:20.547277,0.5289965746968357,0.3493538692821615,0.46914050637174826,COMPLETE
82,0.22534811919906217,2021-12-18 03:20:16.278986,2021-12-18 03:21:36.890336,0 days 00:01:20.611350,0.5298623696916935,0.3699811921424977,0.5201847645295397,COMPLETE
83,0.22491665167620004,2021-12-18 03:21:36.892749,2021-12-18 03:22:55.392185,0 days 00:01:18.499436,0.5961610554832207,0.23346083902064757,0.47579022882045774,COMPLETE
84,0.2256089843358307,2021-12-18 03:22:55.404668,2021-12-18 03:24:16.805290,0 days 00:01:21.400622,0.5377349116681482,0.2985581777958003,0.5103877241365268,COMPLETE
85,0.22244140635394008,2021-12-18 03:24:16.807874,2021-12-18 03:25:41.402292,0 days 00:01:24.594418,0.4521460558225463,0.1273885286983089,0.4598288007822776,COMPLETE
86,0.22513952884199387,2021-12-18 03:25:41.404124,2021-12-18 03:27:02.183541,0 days 00:01:20.779417,0.5416885666796523,0.4109554011807708,0.5244485440759719,COMPLETE
87,0.22367887608302453,2021-12-18 03:27:02.197131,2021-12-18 03:28:24.669907,0 days 00:01:22.472776,0.42391010948717667,0.28288765618860834,0.5656257318972722,COMPLETE
88,0.22552513631767032,2021-12-18 03:28:24.671667,2021-12-18 03:29:44.948343,0 days 00:01:20.276676,0.5830610742757795,0.33302666135764675,0.4811077299363732,COMPLETE
89,0.11770850950497104,2021-12-18 03:29:44.950444,2021-12-18 03:31:02.763446,0 days 00:01:17.813002,0.9820923651259514,0.3350622404768875,0.48443523289041635,COMPLETE
90,0.2255946257719897,2021-12-18 03:31:02.778351,2021-12-18 03:32:23.125464,0 days 00:01:20.347113,0.5831329485039818,0.34325472491385806,0.3977919042899472,COMPLETE
91,0.22563500620508872,2021-12-18 03:32:23.127155,2021-12-18 03:33:42.242204,0 days 00:01:19.115049,0.5794157673065813,0.3060171560990026,0.44581776227953407,COMPLETE
92,0.2232102279354311,2021-12-18 03:33:42.244294,2021-12-18 03:35:03.021425,0 days 00:01:20.777131,0.6317960692097289,0.3433500649789595,0.5952200911687152,COMPLETE
93,0.22512169573179036,2021-12-18 03:35:03.044267,2021-12-18 03:36:25.728645,0 days 00:01:22.684378,0.5819462326128744,0.40084392579049116,0.40332686884447844,COMPLETE
94,0.2252638066055845,2021-12-18 03:36:25.730309,2021-12-18 03:37:46.527972,0 days 00:01:20.797663,0.5892663989588584,0.3104452533431699,0.5109515974375154,COMPLETE
